Course Number,Course Title,Formerly Known,Last Approved Date,Last Edit Date,Long Course Title,Short Course Title,Effective Term,Equivalent Courses,Course Syllabus Links,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Comments,Reviewer Comments,Status Head
AMST 2610W,"Science, Technology, and Politics in Modern America",,04/06/18 4:04 am,02/27/18 5:41 pm,"Science, Technology, and Politics in Modern America","Science, Technology & Politics",Fall 2018,"HIST 2610W - Science, Technology, and Politics in Modern America
AMST 2610 - Science, Technology, and Politics in Modern America
HIST 2610 - Science, Technology, and Politics in Modern America",['https://next.bulletin.gwu.edu/courseadmin/11121/AMST%202610W_CohenCole.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,"Gil Huerta (ghuerta) (01/10/18 10:47 am): Course approved under Suleiman Osman's syllabus for Spring 2018 by Gordon Mantler, WID Director. Future iterations taught under new faculty should have their syllabi submitted to WID for review.
candaceg (02/13/18 9:11 pm): approved by the gpac committee for CAH and CGCC for the fall 2018 semester, cross-listed with HIST 2610W (also approved for CAH and CGCC).",
AMST 2680W,Hashtag America,,04/09/18 1:20 pm,03/20/18 11:45 am,Hashtag America,Hashtag America,Fall 2018,,"['https://next.bulletin.gwu.edu/courseadmin/11140/2680W_Osman.pdf', 'https://next.bulletin.gwu.edu/courseadmin/11140/2680_WIDChecklist_Osman.pdf', 'https://next.bulletin.gwu.edu/courseadmin/11140/2680W_Osman_GPACChecklist.pdf']",,,,,,"Approved for WID- being submitted for GPAC - Critical Thinking.

This course is no longer seeking GPAC approval (via the AMST department).",,
AMST 2730W,World War II in History and Memory,HIST 2730,08/24/18 4:04 am,01/24/20 11:18 am,World War II in History and Memory,World War II History & Memory,,,['https://next.bulletin.gwu.edu/courseadmin/253/Blank.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,Changes saved but not submitted
ANTH 2750W,Latinos in the United States,,10/26/19 4:08 am,10/25/19 11:50 am,Latinos in the United States,Latinos in the United States,Spring 2020,,['https://next.bulletin.gwu.edu/courseadmin/394/Existing%20course.docx'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,
AMST 3352,U.S. Women's History to 1865,WSTU 3352 / WSTU 3352W,10/26/19 4:07 am,10/25/19 3:07 pm,U.S. Women's History to 1865,U.S. Women's History to 1865,Spring 2020,,['https://next.bulletin.gwu.edu/courseadmin/260/WGSS3352W.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,
AMST 3362W,African American Women's History,HIST 3362 / HIST 3362W / WGSS 3362,08/23/17 4:03 am,02/12/20 9:35 am,African American Women's History,African American Women's Hist.,,"HIST 3362 - African American Women’s History
HIST 3362W - African American Women’s History
WGSS 3362 - African American Women's History",['https://next.bulletin.gwu.edu/courseadmin/266/HIST-AMST-WSTU%203362.pdf'],,,,,,,,Changes saved but not submitted
AMST 3900W,Cultural Criticism in America,,02/06/15 4:23 am,11/13/14 2:26 pm,Cultural Criticism in America,Cultural Criticism in America,201501,,[],,,,,,,,Course Deactivation Proposal
AMST 3950W,Special Topics,,07/11/18 4:04 am,02/12/20 9:39 am,Special Topics,Special Topics,,HIST 3301W - Topics: U.S. History,['https://next.bulletin.gwu.edu/courseadmin/273/Blank.docx'],,,,,,,,Changes saved but not submitted
AMST 4500W,Proseminar in American Studies,,04/09/18 1:02 pm,02/13/20 10:11 am,Proseminar in American Studies,Proseminar in American Studies,,,['https://next.bulletin.gwu.edu/courseadmin/281/Blank.pdf'],,,,,,,,Changes saved but not submitted
AMST 4701W,Epidemics in American History,,10/24/17 4:03 am,10/23/17 12:01 pm,Epidemics in American History,Epidemics in American History,Spring 2017,,['https://next.bulletin.gwu.edu/courseadmin/8517/Epidemics%20in%20American%20History.pdf'],,,,,,,,
AMST 4702W,"Race, Medicine, and Public Health",,07/14/18 4:03 am,07/13/18 1:08 pm,"Race, Medicine, and Public Health","Race, Medicine & Public Health",Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/8923/Race%2C%20American%20Medicine%2C%20and%20Public%20Health_AMST%205701W.doc'],,,,,,,,
AMST 5701W,Selected Topics,,12/12/14 4:16 am,11/19/14 8:52 am,Selected Topics,Selected Topics,201501,,[],,,,,,,,Course Deactivation Proposal
AMST 5771W,Epidemics in American History,,05/24/14 4:51 am,04/21/14 1:04 pm,Epidemics in American History,Epidemics in American History,201403,,[],,,,,,,,Course Deactivation Proposal
ANAT 0701W,Writing fr Biomedical Sciences,,,,Writing fr Biomedical Sciences,Writing fr Biomedical Sciences,,,[],,,,,,,,Course Deactivation Proposal
ANTH 1002W,Sociocultural Anthropology,,08/17/17 4:04 am,08/16/17 2:36 pm,Sociocultural Anthropology,Sociocultural Anthropology,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/395/blank.pdf'],University general education: Critical analysis in the social sciences (CASS),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,
ANTH 2008W,Foundations of Anthropology,,08/22/18 4:02 am,08/21/18 1:15 pm,Foundations of Anthropology,Foundations of Anthropology,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/392/2008%20fa%2013%20fisher.pdf'],University general education: Critical analysis in the social sciences (CASS),CCOM,,,,,,
ANTH 2750W,Latinos in the United States,,10/26/19 4:08 am,10/25/19 11:50 am,Latinos in the United States,Latinos in the United States,Spring 2020,,['https://next.bulletin.gwu.edu/courseadmin/394/Existing%20course.docx'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,
ANTH 3412W,Hominin Evolution,,07/18/17 4:04 am,07/17/17 2:27 pm,Hominin Evolution,Hominin Evolution,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/420/blank.pdf'],University general education: Scientific reasoning (CSCI),,,,,,,
ANTH 3510W,Symbolic Anthropology,,05/24/14 4:51 am,04/22/14 5:02 pm,Symbolic Anthropology,Symbolic Anthropology,Summer 2014,,[],,,,,,,,Course Deactivation Proposal
ANTH 3513W,Anthropology of Human Rights,,07/04/17 4:02 am,05/12/20 10:42 am,Anthropology of Human Rights,Anthropology of Human Rights,,,['https://next.bulletin.gwu.edu/courseadmin/417/3513W%20sp%2011%20king.docx'],,,,ESIA: Anthropology/Geography (ESAG),,,,Changes saved but not submitted
ANTH 3602W,Ethnographic Analysis of Speech,,07/17/17 4:02 am,07/13/17 4:43 pm,Ethnographic Analysis of Speech,EthnographicAnalysisOfSpeech,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/424/3602%20fa%2012%20merritt.pdf'],,,,,,,,
ANTH 3801W,African Roots from Australopithecus to Zimbabwe,,07/17/17 4:02 am,07/13/17 4:53 pm,African Roots from Australopithecus to Zimbabwe,Australopithecus to Zimbabwe,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/435/3801W%20sp%2014%20Brooks.pdf'],,,,ESIA: Africa concentration (ERCA),,,,
ANTH 3802W,Human Cultural Beginnings,,07/17/17 4:04 am,07/13/17 4:55 pm,Human Cultural Beginnings,Human Cultural Beginnings,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/451/blank.pdf'],,,,,,,,
ANTH 3803W,Old World Prehistory: First Farmers to First Cities,,07/17/17 4:02 am,07/13/17 4:56 pm,Old World Prehistory: First Farmers to First Cities,First Farmers to First Cities,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/440/3803%20sp%2008%20johnston.doc'],,,,,,,,
ANTH 3838W,Theory and Practice in Archaeology,,07/17/17 4:04 am,07/13/17 4:58 pm,Theory and Practice in Archaeology,Theory&Practice in Archaeology,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/469/blank.pdf'],University general education: Critical analysis in the social sciences (CASS),CCOM,,,,,,
ANTH 3991W,Special Topics,,08/22/18 4:04 am,12/13/23 5:00 pm,Special Topics,Special Topics,Fall 2023,AMST 2490W - Themes in U.S.Cultural History,['https://next.bulletin.gwu.edu/courseadmin/472/Blank.pdf'],,,,,,,,
ANTH 4008W,Seminar: Contemporary Anthropological Theory,,11/30/16 4:06 am,01/17/20 1:55 pm,Seminar: Contemporary Anthropological Theory,Contemporary Anthro Theory,,,['https://next.bulletin.gwu.edu/courseadmin/10492/Ahmann_4008%20Syllabus%20rev.docx'],,,,,,.,,Changes saved but not submitted
ARAB 3105W,Special Topics,,06/18/21 4:06 am,06/08/21 8:53 pm,Special Topics,Special Topics,Spring 2022,,"['https://next.bulletin.gwu.edu/courseadmin/26280/WID%20Special%20Topics%20Syllabus%20Template%20revised%202-2021.docx', 'https://next.bulletin.gwu.edu/courseadmin/26280/ARAB%203105W%20sample%20Syllabus%20WID%20Special%20Topics%20approved%20Gender%20Love%20Friendship%20UPDATED%204-30-21.docx']",,,,,,"Creation of WID variant for Special Topics. Attached Syllabus is only for example purposes. Dr. Troutman and the syllabus creator, Dr. Tobkin, have agreed to make any syllabus changes directly. Please do not return syllabus to initiator. Exact language is copied below. University Required Language was copied from the 2/10/21 Syllabus template

Dr. Troutman: ""They should initiate that asap, with a draft syllabus attached; meanwhile you and I can be talking about the syllabus and I can attach the final version from my end w/out rolling it back to the dept. That syllabus will be a sample or model, and we'll also attach the WID Template in Course Leaf as well, as a guide to future courses offered under that number. ""","Christopher Rollston (rollston) (03/30/21 4:29 pm): Rollback: syllabus doesn't seem to be showing up.
Phil Troutman (trout) (04/16/21 3:21 pm): Attaching Prof. Tobkin's revised syllabus as sample, and WID Special Topics Template for future guidance, and approving for WID.
Susan DeCicco (susandecicco) (04/30/21 11:01 am): Rollback: Hello. The current University syllabus template containing the University policies for Disability Support Services, Counseling and Psychological Services (formerly Mental Health Services),and observance of religious holidays can be found under Quick Links: https://academicplanning.gwu.edu/. Thank you.
Rachel Riedner (rach) (05/06/21 1:18 pm): Rollback: Does the course syllabus indicate that this is a WID course?
Susan DeCicco (susandecicco) (05/06/21 1:19 pm): Rollback: Please see Dean Riedner's comments.
Phil Troutman (trout) (05/24/21 2:34 pm): The course syllabus includes ""W"" in the course number and meets all WID criteria, including discipline-specific prose (analytic methods of the field and research writing) and peer response.
Julia Collett (julia_collett) (06/08/21 8:53 pm): Julia Collett approved for Gina Harris",
ARAB 3501W,Arabic and Arab Identity,,04/21/23 4:02 am,04/20/23 3:11 pm,Arabic and Arab Identity,Arabic and Arab Identity,Fall 2023,,"['https://next.bulletin.gwu.edu/courseadmin/26749/ARAB%203501W_%20original%20proposal%20record.docx', 'https://next.bulletin.gwu.edu/courseadmin/26749/ARAB%203501W%20Arabic%20and%20Arab%20Identity%20Syllabus_Fall%202023-April%2019-23.docx']",,,,ESIA-Middle East Conc Grp A (EMEA),,"This is a re-proposal of a previously submitted course that had been approved at the Chair, UW Director, and CCAS UG Dean steps before inadvertently being shredded. See attached record of the original transaction.",,
BADM 3401W,Contemporary Marketing Management,,06/13/20 4:12 am,03/01/21 12:43 am,Contemporary Marketing Management,Contemporary Mktg Mgt WID W,Summer 2021,BADM 3401 - Contemporary Marketing Management,[],,,,,,,,Changes saved but not submitted
BADM 2001W,Markets and Politics,,06/05/21 4:05 am,05/28/21 4:37 pm,Markets and Politics,Markets and Politics,Fall 2021,,"['https://next.bulletin.gwu.edu/courseadmin/8631/BADM%202001%20WID%20Markets%20and%20Politics%20Syllabus.docx', 'https://next.bulletin.gwu.edu/courseadmin/8631/BADM%202001W%20Bronner%20syllabus%20Fall%202021.pdf']",,,,,,Syllabus updated with weekly topics as requested.,"Phil Troutman (trout) (04/05/21 3:51 pm): Adding current (fall 2021) syllabus w/ permission of dept. chair Ernie Englander (course format has changed in the last year). Both this syllabus & the earlier one here (leaving it here) satisfy WID requirements.
Gina Harris (gharris) (04/07/21 10:01 am): There are only 14 weeks on the syllabus class schedule. I've requested a revised syllabus adding an additional class session for week 14 and moving the final project due date week 15, scheduled during the exam period.
Cheryl Beil (cbeil) (05/05/21 6:16 pm): Rollback: The syllabi need to include a week-by-week schedules of topics to be presented.
Julia Collett (julia_collett) (05/28/21 4:37 pm): Julia Collett approved for Gina Harris",
BADM 2003W,Analysis of Business Issues,,04/18/16 5:33 am,03/21/16 3:15 pm,Analysis of Business Issues,Analysis of Business Issues,Fall 2016,,[],,,,,,,,Course Deactivation Proposal
BADM 2301W,Management Information Systems Technology,,05/07/20 4:09 am,02/28/20 1:25 pm,Management Information Systems Technology,Mgt Information Systems Tech,Fall 2020,BADM 2301 - Management Information Systems Technology,['https://next.bulletin.gwu.edu/courseadmin/626/place%20holder.pdf'],,,,,,,,Course Deactivation Proposal
BADM 3102W,Business/Government Relations,,04/07/21 4:04 am,03/19/21 12:48 pm,Business/Government Relations,Business/Government Relations,Fall 2021,BADM 3102 - Business and Government Relations,['https://next.bulletin.gwu.edu/courseadmin/632/Blank.pdf'],,,,,,,,Course Deactivation Proposal
BADM 4101W,Business Ethics and the Legal Environment,,06/05/21 4:05 am,05/28/21 4:36 pm,Business Ethics and the Legal Environment,Business Ethics Legal Envi,Fall 2021,,"['https://next.bulletin.gwu.edu/courseadmin/10349/BADM%204101W%20Syllabus%20v5%20Martin.docx', 'https://next.bulletin.gwu.edu/courseadmin/10349/BADM%204101W_Syllabus_Botha_2021%20(1).pdf']",,,,,,,"Phil Troutman (trout) (04/16/21 11:57 am): Attaching updated syllabus from Ernie Englander and approving for WID.
Cheryl Beil (cbeil) (05/05/21 6:27 pm): Rollback: Learning outcomes need to be revised to indicate what students will be able to think (and speak) upon completing this class. The current outcomes are professor-centered about what will be taught. I suggest revising and using some of the course goals in the syllabus for the learning outcomes.
Julia Collett (julia_collett) (05/28/21 4:36 pm): Julia Collett approved for Gina Harris",
BADM 4900W,Special Topics,,06/26/18 4:04 am,06/25/18 3:19 pm,Special Topics,Special Topics,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/637/Blank.pdf'],,,,,,,,
BADM 4920,Fundamentals of Business Law,,05/24/14 4:45 am,04/14/14 1:24 pm,Fundamentals of Business Law,Fundamentals of Business Law,Summer 2014,,[],,,,,,,,Course Deactivation Proposal
BIOC 1102W,Special Topics in Biochemistry,,,,Special Topics in Biochemistry,Special Topics in Biochemistry,,,[],,,,,,,,Course Deactivation Proposal
BIOC 3263W,Special Topics in Biochemistry,,07/11/18 4:04 am,06/25/18 1:05 pm,Special Topics in Biochemistry,Special Topics in Biochemistry,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/661/Blank.docx'],,,,,,,,
BISC 0801W,Dean's Seminar,,,,Dean's Seminar,Dean's Seminar,,,[],,,,,,,,Course Deactivation Proposal
BISC 1112,Introductory Biology: The Biology of Organisms,,07/30/21 4:04 am,07/29/21 12:30 pm,Introductory Biology: The Biology of Organisms,Intro Bio: Bio of Organisms,Spring 2021,,['https://next.bulletin.gwu.edu/courseadmin/696/Syllabus%20BISC1112-11%20Spring%202020.docx'],University general education: Scientific reasoning (CSCI),,HONR: Scientific reasoning and discovery (HSRD),ESIA: Science (ESCI),,"ewbrown: add - "" BISC 1112 is equivalent to the combination of BISC 1116 and its lab component BISC 1126."" to the description in Banner.",,
BISC 2322W,Human Physiology,,10/19/15 4:33 am,07/09/15 2:25 pm,Human Physiology,Human Physiology,201501,BISC 2322 - Human Physiology,['https://next.bulletin.gwu.edu/courseadmin/725/BISC%202322%20syllabus%20in%20template%20spring%202015.doc'],,,,,,,"bradly (03/24/15 2:45 pm): Rollback: Can shred this proposal, as the instructor indicates that it will no longer be offered in WID format.
Gil Huerta (ghuerta) (07/09/15 1:35 pm): Rollback: See Brad Gilligan's comments regarding deactivation dtd (03/24/15 2:45 pm).",Course Deactivation Proposal
